,coef,t_stat,n_months
const,0.021043,41.705449,218
DDCamp,-0.000285,-10.858964,218
log_size,-0.001243,-28.324277,218
duration,0.000131,4.484821,218
rat_AA,-0.000245,-2.513154,218
rat_AAA,0.000827,9.609141,217
rat_B,0.000508,3.545228,218
rat_BB,0.000325,2.41997,218
rat_BBB,0.000287,4.263291,218
rat_CC,0.01027,11.889502,217
rat_CCC,0.004294,15.16385,218
tmt_3-7y,0.001606,16.183882,218
tmt_7-15y,0.002742,15.157495,218
tmt_>15y,0.005477,17.675099,218
