,segment,horizon_m,n_months,beta_mis,t_mis,beta_dDD,t_dDD
0,IG,1,217,0.064854,2.614064,0.000429,1.034139
1,IG,3,215,0.062769,2.552166,7.2e-05,0.506901
2,IG,6,212,0.061537,2.471273,5.6e-05,0.765992
3,IG,12,206,0.055957,2.205746,5.5e-05,1.048567
4,HY,1,217,-0.026662,-0.270127,-0.003307,-2.344055
5,HY,3,215,-0.035143,-0.354368,-0.000522,-0.804074
6,HY,6,212,-0.047415,-0.467728,-0.000328,-0.946076
7,HY,12,206,-0.066011,-0.645932,6.3e-05,0.251388
