,coef,t_stat,n_months
const,0.003794,10.107008,218
spread_resid_w,0.051742,3.752035,218
beta_MKT,0.001307,1.451172,218
beta_CRD,0.001492,1.74673,218
beta_TERM,0.002026,1.806771,218
