,coef,t_stat,n_months
const,0.003399,1.576866,218
spread_resid_w,0.050756,1.199885,218
DDCamp,-0.000202,-1.506543,218
log_size,-1.5e-05,-0.086461,218
duration,-0.000309,-1.730999,218
rat_AA,9e-06,0.046883,218
rat_AAA,2.6e-05,0.074066,217
rat_B,0.003323,2.5138,218
rat_BB,0.002046,2.333418,218
rat_BBB,0.000707,2.334073,218
rat_CC,0.027071,3.506344,210
rat_CCC,0.004558,1.531258,218
tmt_3-7y,0.002446,4.105453,218
tmt_7-15y,0.004573,4.564714,218
tmt_>15y,0.007304,4.387748,218
