,segment,horizon_m,n_months,beta_mis,t_mis,beta_dDD,t_dDD
0,IG,1,216,0.066386,2.32866,0.000274,0.77777
1,IG,3,214,0.062798,2.21292,-8.4e-05,-0.713522
2,IG,6,211,0.060926,2.121271,6.5e-05,1.014062
3,IG,12,205,0.05507,1.881412,4.4e-05,0.894487
4,HY,1,216,-0.011046,-0.106961,-0.002113,-1.636336
5,HY,3,214,-0.020254,-0.19489,-0.000894,-1.421864
6,HY,6,211,-0.042345,-0.399237,-0.000298,-0.808499
7,HY,12,205,-0.059655,-0.550494,5.1e-05,0.242746
