,coef,t_stat,n_months
const,0.003828,1.694801,217
spread_resid_w,0.053901,1.17095,217
DDCamp,-0.000213,-1.457011,217
log_size,-1.2e-05,-0.071394,217
duration,-0.00052,-2.746341,217
rat_AA,-0.000119,-0.579439,217
rat_AAA,7.6e-05,0.238152,217
rat_B,0.002962,2.054722,217
rat_BB,0.001963,2.046314,217
rat_BBB,0.000622,1.929988,217
rat_CC,0.025796,3.266323,196
rat_CCC,0.003927,1.264343,217
tmt_3-7y,0.002967,4.746382,217
tmt_7-15y,0.005549,5.136124,217
tmt_>15y,0.009478,5.228663,217
