,coef,t_stat,n_months
const,0.003513,10.21131,217
spread_resid_w,0.048733,3.465676,217
beta_MKT,0.001452,1.536129,217
beta_CRD,0.001548,1.601311,217
beta_TERM,0.002134,1.733339,217
