,coef,t_stat,n_months
const,0.02019,39.287298,217
DDCamp,-0.000297,-10.589898,217
log_size,-0.001174,-26.421215,217
duration,0.00013,4.229603,217
rat_AA,-0.000199,-2.00039,217
rat_AAA,0.000967,11.160142,217
rat_B,0.000568,4.175916,217
rat_BB,0.000342,2.62968,217
rat_BBB,0.000359,5.712375,217
rat_CC,0.009395,10.851288,217
rat_CCC,0.004252,16.65126,217
tmt_3-7y,0.001569,15.776545,217
tmt_7-15y,0.002699,13.963085,217
tmt_>15y,0.005463,16.431542,217
